id,lat,lon,name,cvegeo,pob_2010,imu2010,gmu2010
181,19.40472,-99.17448,181 BENJAMIN FRANKLIN-OMETUSCO,0901500011426,1472,-1.068469965352500,Muy bajo
66,19.411402,-99.178666,66 MAZATLAN-FRANCISCO MARQUEZ,0901500011318,2916,-1.131818105267010,Muy bajo
67,19.411797,-99.17588,67 VICENTE SUAREZ-MICHOACAN,0901500011318,2916,-1.131818105267010,Muy bajo
68,19.411556,-99.17406,68 TAMAULIPAS-MICHOACAN,0901500011318,2916,-1.131818105267010,Muy bajo
73,19.410245,-99.175612,73 CAMPECHE-TAMAULIPAS,0901500011318,2916,-1.131818105267010,Muy bajo
75,19.408722,-99.17669,75 ALFONSO REYES-ATLIXCO,0901500011318,2916,-1.131818105267010,Muy bajo
69,19.410733,-99.168111,69 MICHOACAN-AMSTERDAM,0901500011341,4138,-1.121921775450120,Muy bajo
76,19.408736,-99.169913,76 CHILPANCINGO-CAMPECHE,0901500011341,4138,-1.121921775450120,Muy bajo
80,19.407307,-99.172118,80 NUEVO LEON-AGUASCALIENTES,0901500011341,4138,-1.121921775450120,Muy bajo
81,19.408006,-99.168475,81 AGUASCALIENTES-INSURGENTES,0901500011341,4138,-1.121921775450120,Muy bajo
84,19.40702,-99.169587,84 CHILPANCINGO-TLAXCALA,0901500011341,4138,-1.121921775450120,Muy bajo
79,19.407534,-99.174427,79 SALTILLO-ALFONSO REYES,0901500011337,1855,-1.195283472619250,Muy bajo
125,19.424541,-99.156204,125 MORELIA-CIRCULAR DE MORELIA,0901500011017,5041,-0.974209252205176,Muy bajo
127,19.423318,-99.15833,127 PUEBLA-MERIDA,0901500011017,5041,-0.974209252205176,Muy bajo
130,19.421576,-99.158015,130 MÉRIDA-DURANGO,0901500011017,5041,-0.974209252205176,Muy bajo
132,19.420667,-99.15645,132 COLIMA-FRONTERA,0901500011017,5041,-0.974209252205176,Muy bajo
133,19.421138,-99.154725,133 COLIMA-MORELIA,0901500011017,5041,-0.974209252205176,Muy bajo
135,19.419225,-99.155099,135 ÁLVARO OBREGÓN-MORELIA,0901500011017,5041,-0.974209252205176,Muy bajo
137,19.418774,-99.157081,137 ÁLVARO OBREGÓN-MÉRIDA,0901500011017,5041,-0.974209252205176,Muy bajo
98,19.430267,-99.14861,98 EMILIO DONDE-AV. BALDERAS,0901500010860,1958,-0.555446832898137,Medio
107,19.427329,-99.149971,107 TOLSA-BALDERAS,0901500010860,1958,-0.555446832898137,Medio
108,19.427305,-99.149533,E108 TOLSA-BALDERAS,0901500010860,1958,-0.555446832898137,Medio
123,19.424161,-99.153117,123 CLAUDIO BERNARD-DR. LAVISTA,0901500011534,3036,-1.022745918280060,Muy bajo
124,19.422392,-99.150358,124 CLAUDIO BERNARD-DR. LICEAGA,0901500011534,3036,-1.022745918280060,Muy bajo
112,19.432819,-99.151734,112 AV. MORELOS-ABRAHAM GONZALEZ,0901500010856,3125,-0.806815265571647,Bajo
113,19.430369,-99.154419,113 GENERAL PRIM-VERSALLES,0901500010856,3125,-0.806815265571647,Bajo
114,19.428989,-99.153618,114 LUCERNA-ABRAHAM GONZALEZ ,0901500010856,3125,-0.806815265571647,Bajo
