ID,Nombre,Dirección,Número,Código po,districtCo,Colonia,altitude,nearbyStat,location/l,location_1,Tipo de es,nearbySt_1,nearbySt_2,nearbySt_3,nearbySt_4,nearbySt_5,punto_geo,CVE_AGEB,CVE_MUN,CVE_LOC,CVE_ENT,MOVEMENT_I,DISPLAY_NA
"321",321 TORRES ADALID-ANAXÁGORAS,321 - Torres Adalid-Anaxágoras,S/N,"3020","1",Ampliación Granada,,"320",19.389476999999999,-99.157512999999994,BIKE,"322","340",,,,"19.389477,-99.157513","0257","014","0001","09","4619",Movement Zone 4619
"320",320 ENRIQUE RÉBSAMEN-LUZ SAVIÑON,320 - Enrique Rébsamen-Luz Saviñon,S/N,"3020",NAR,Narvarte Poniente,,"296",19.391323000000000,-99.159360000000007,BIKE,"297","319",,,,"19.391323,-99.15936","0257","014","0001","09","4619",Movement Zone 4619
"319",319 DIAGONAL SAN ANTONIO-LUZ SAVIÑON,319 - Diagonal San Antonio-Luz Saviñon,S/N,"3103",DVN,Del Valle Norte,,"298",19.391991000000001,-99.162683999999999,BIKE,"318","320",,,,"19.391991,-99.162684","0257","014","0001","09","4619",Movement Zone 4619
"296",E296 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN,296 - Diagonal San Antonio-Enrique Rébsamen,S/N,"3020",NAR,Narvarte Poniente,,"295",19.394283000000001,-99.158755999999997,ELECTRIC_BIKE,"297","300",,,,"19.394283,-99.158756","0257","014","0001","09","4619",Movement Zone 4619
"322",322 HERIBERTO FRÍAS-CONCEPCIÓN BEISTEGUI,322 - Heriberto Frías-Concepción Beistegui,S/N,"3020","1",Ampliación Granada,,"321",19.388528000000001,-99.160616000000005,BIKE,"323","339",,,,"19.388528,-99.160616","0257","014","0001","09","4619",Movement Zone 4619
"398",398 SANCHEZ AZCONA-FELIX CUEVAS,398 - Sanchez Azcona-Felix Cuevas,S/N,"3104",DVS,Del Valle Sur,,"397",19.371030000000001,-99.165660000000003,BIKE,"399","400",,,,"19.37103,-99.16566","0755","014","0001","09","4622",Movement Zone 4622
"397",397 SAN LORENZO-GABRIEL MANCERA,397 - San Lorenzo-Gabriel Mancera,S/N,"3104",DVS,Del Valle Sur,,"398",19.373194000000002,-99.167247000000003,BIKE,"399","400",,,,"19.373194,-99.167247","0755","014","0001","09","4622",Movement Zone 4622
"399",399 HERIBERTO FRÍAS-SAN LORENZO,399 - Heriberto Frías-San Lorenzo,S/N,"3104",DVS,Del Valle Sur,,"397",19.372406999999999,-99.164518999999999,BIKE,"398","400",,,,"19.372407,-99.164519","0755","014","0001","09","4622",Movement Zone 4622
"400",400 SAN LORENZO-HERIBERTO FRIAS,400 - San Lorenzo-Heriberto Frias,S/N,"3104",DVS,Del Valle Sur,,"397",19.372645800000001,-99.164274300000002,BIKE,"398","399",,,,"19.3726458,-99.1642743","0755","014","0001","09","4622",Movement Zone 4622
"349",349 AUGUSTO RODIN-AVENIDA SAN ANTONIO,349 - Augusto Rodin-Avenida San Antonio,S/N,"3840",AMN,Ampliación Nápoles,,"332",19.385687999999998,-99.180857000000003,BIKE,"348","350",,,,"19.385688,-99.180857",037A,"014","0001","09","4623",Movement Zone 4623
