,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
497902,1207,1322,12,781.44,277.39,733.36,1.43
512958,1534,1426,18,31.94,100.54,14.74,2.58
557773,1534,1160,2,1573.67,514.61,1509.31,1.31
563762,1411,1175,11,783.25,309.89,750.39,1.3
669015,1207,1226,12,880.67,95.79,875.58,1.11
696367,1375,1110,19,3079.58,543.22,3033.33,1.19
707284,1226,1197,7,1050.6,357.72,1007.83,1.31
710461,1175,1430,23,1419.82,503.35,1355.77,1.33
729665,1303,1322,18,1453.29,335.09,1422.19,1.22
731501,1430,1160,0,1321.82,198.01,1307.75,1.16
733208,1411,1375,14,972.55,510.06,880.87,1.52
736367,1411,1430,11,1117.98,652.42,998.88,1.55
737717,1318,1197,0,760.0,196.22,735.66,1.29
745029,1430,1426,16,189.81,365.13,119.88,2.21
750477,1322,1318,23,291.24,190.97,251.73,1.66
778090,1479,1175,16,780.39,315.76,743.95,1.32
805189,1430,1479,19,881.4,344.07,830.41,1.39
829360,1430,1160,22,1589.64,384.84,1551.61,1.23
27933,1318,1197,22,829.5,300.52,785.85,1.38
39544,1430,1534,16,172.07,310.53,107.0,2.3
43241,1375,1029,15,3425.57,1010.67,3300.48,1.3
50071,1178,1479,9,699.76,218.23,674.09,1.3
91890,1534,1175,20,1601.61,420.82,1558.59,1.25
96184,1426,1175,5,1422.57,452.52,1336.63,1.51
167557,1479,1178,20,700.13,165.53,684.54,1.22
169140,1106,1002,0,1226.71,98.02,1222.9,1.08
210777,1093,1017,22,1003.3,229.43,977.68,1.26
234042,1017,1110,14,927.75,623.66,779.49,1.75
303121,1303,1211,16,1157.86,467.31,1088.11,1.39
317412,1322,1207,21,735.07,370.6,651.28,1.7
327622,1464,1375,5,1304.06,287.67,1277.44,1.22
360288,1464,1430,2,1082.4,336.43,1029.67,1.38
434769,1002,1534,6,2777.37,627.81,2714.88,1.23
452664,1426,1534,23,37.93,208.38,10.52,2.65
465536,1002,1106,16,1529.25,386.92,1494.4,1.22
557525,1093,1110,16,558.37,270.9,499.48,1.6
576128,1017,1093,14,1140.45,491.98,1046.41,1.5
608834,1464,1426,15,1587.22,309.69,1558.83,1.21
630403,1002,1426,15,3246.71,1680.26,2944.68,1.51
675269,1110,1106,18,1350.52,332.42,1316.45,1.24
680273,1430,1093,18,2695.56,813.66,2611.77,1.26
707218,1426,1479,13,934.89,287.13,898.97,1.32
714561,1426,1534,10,37.23,160.2,15.28,2.77
729775,1303,1207,0,975.74,383.4,904.32,1.48
800246,1029,1106,9,1183.67,274.79,1149.32,1.28
806272,1093,1002,9,868.97,293.04,836.22,1.29
820391,1110,1029,14,986.04,309.05,943.94,1.34
826045,1426,1029,16,3378.94,807.5,3280.47,1.28
1771,1110,1029,20,877.24,261.44,844.9,1.3
20368,1426,1029,22,3386.91,704.52,3322.17,1.21
33323,1029,1106,15,1231.0,365.59,1182.44,1.32
35754,1002,1029,5,1043.43,164.28,1031.51,1.16
46910,1093,1375,8,2949.7,774.71,2859.45,1.28
65146,1093,1430,5,2691.96,980.46,2565.2,1.34
74647,1093,1002,15,849.54,231.34,822.52,1.3
100646,1426,1411,18,1019.11,473.56,946.2,1.43
101807,1411,1479,23,80.56,156.73,33.47,4.02
144355,1534,1464,14,1460.94,353.53,1424.14,1.24
155252,1411,1534,20,1153.24,469.7,1077.86,1.42
160728,1197,1207,23,62.94,186.94,29.42,2.77
208006,1534,1093,16,2509.73,742.81,2426.45,1.28
209945,1318,1226,10,935.67,248.43,908.21,1.26
237386,1426,1093,1,2752.14,556.45,2698.1,1.22
348429,1175,1411,19,903.82,438.31,848.83,1.39
446305,1197,1303,15,865.09,350.58,815.31,1.38
469264,1375,1175,12,1528.71,512.82,1459.63,1.34
491262,1322,1197,11,680.53,260.32,638.73,1.41
525108,1479,1430,14,1473.06,684.27,1354.82,1.48
